Check-in,Check-out,Room Type,Price,Annual Average Price
21/07/2025,23/07/2025,Standard,270,200
28/07/2025,30/07/2025,Standard,255,200
04/08/2025,06/08/2025,Standard,176,200
11/08/2025,13/08/2025,Standard,176,200
18/08/2025,20/08/2025,Standard,216,200
25/08/2025,27/08/2025,Standard,217,200
01/09/2025,03/09/2025,Standard,215,200
08/09/2025,10/09/2025,Standard,276,200
15/09/2025,17/09/2025,Standard,200,200
22/09/2025,24/09/2025,Standard,218,200
29/09/2025,01/10/2025,Standard,239,200
06/10/2025,08/10/2025,Standard,217,200
13/10/2025,15/10/2025,Standard,213,200
20/10/2025,22/10/2025,Standard,213,200
27/10/2025,29/10/2025,Standard,198,200
03/11/2025,05/11/2025,Standard,150,200
10/11/2025,12/11/2025,Standard,146,200
17/11/2025,19/11/2025,Standard,143,200
24/11/2025,26/11/2025,Standard,143,200
01/12/2025,03/12/2025,Standard,124,200
08/12/2025,10/12/2025,Standard,158,200
15/12/2025,17/12/2025,Advance,167,200
22/12/2025,24/12/2025,Advance,112,200
29/12/2025,31/12/2025,Advance,106,200
05/01/2026,07/01/2026,Advance,171,200
12/01/2026,14/01/2026,Advance,171,200
19/01/2026,21/01/2026,Advance,171,200
26/01/2026,28/01/2026,Advance,171,200
02/02/2026,04/02/2026,Advance,171,200
09/02/2026,11/02/2026,Advance,219,200
16/02/2026,18/02/2026,Advance,219,200
23/02/2026,25/02/2026,Advance,221,200
02/03/2026,04/03/2026,Advance,205,200
09/03/2026,11/03/2026,Advance,205,200
16/03/2026,18/03/2026,Advance,205,200
23/03/2026,25/03/2026,Advance,205,200
30/03/2026,01/04/2026,Advance,205,200
06/04/2026,08/04/2026,Advance,159,200
13/04/2026,15/04/2026,Advance,159,200
20/04/2026,22/04/2026,Advance,214,200
27/04/2026,29/04/2026,Advance,208,200
04/05/2026,06/05/2026,Advance,208,200
11/05/2026,13/05/2026,Advance,208,200
18/05/2026,20/05/2026,Advance,208,200
25/05/2026,27/05/2026,Advance,195,200
01/06/2026,03/06/2026,Advance,235,200
08/06/2026,10/06/2026,Advance,235,200
15/06/2026,17/06/2026,Advance,273,200
22/06/2026,24/06/2026,Advance,273,200
29/06/2026,01/07/2026,Advance,273,200
06/07/2026,08/07/2026,Advance,273,200
